ClothingType,Color,Vendor,Type,CleanBodyText
Camp Sock,Soil Marl,Taylor Stitch,Accessories,The Camp Sock in Soil Marl from Taylor Stitch
Camp Sock,Dark Navy Marl,Taylor Stitch,Accessories,The Camp Sock in Dark Navy Marl from Taylor Stitch
Headland Beanie,Warm Grey,Taylor Stitch,Accessories,The Headland Beanie in Warm Grey from Taylor Stitch
Headland Beanie,Dark Navy,Taylor Stitch,Accessories,The Headland Beanie in Dark Navy from Taylor Stitch
Quilted Jersey Pant,Pant in Midnight Heather,Taylor Stitch,Bottoms,The Quilted Jersey Pant in Midnight Heather from Taylor Stitch
Carmel Pant,Timber Guncheck,Taylor Stitch,Bottoms,The Carmel Pant in Timber Guncheck from Taylor Stitch
Carnegie Pant,Peat Herringbone,Taylor Stitch,Bottoms,The Carnegie Pant in Peat Herringbone from Taylor Stitch
Carnegie Pant,Granite Herringbone,Taylor Stitch,Bottoms,The Carnegie Pant in Granite Herringbone from Taylor Stitch
Democratic All Day Pant,Pant in Light Khaki Cord,Taylor Stitch,Bottoms,The Democratic All Day Pant in Light Khaki Cord from Taylor Stitch
Democratic All Day Pant,Day Pant in Morel Cord,Taylor Stitch,Bottoms,The Democratic All Day Pant in Morel Cord from Taylor Stitch
Slim All Day Pant,Pant in Light Khaki Cord,Taylor Stitch,Bottoms,The Slim All Day Pant in Light Khaki Cord from Taylor Stitch
Slim All Day Pant,Day Pant in Morel Cord,Taylor Stitch,Bottoms,The Slim All Day Pant in Morel Cord from Taylor Stitch
Sidecountry Sweater,Coffee Heather Merino Waffle,Taylor Stitch,Knits,The Sidecountry Sweater in Coffee Heather Merino Waffle from Taylor Stitch
Crawford Sweater,Dark Forest,Taylor Stitch,Knits,The Crawford Sweater in Dark Forest from Taylor Stitch
Crawford Sweater,Black Cherry,Taylor Stitch,Knits,The Crawford Sweater in Black Cherry from Taylor Stitch
Fisherman Shawl Cardigan,Cardigan in Marsh Heather,Taylor Stitch,Knits,The Fisherman Shawl Cardigan in Marsh Heather from Taylor Stitch
Headland Sweater,Coal Heather,Taylor Stitch,Knits,The Headland Sweater in Coal Heather from Taylor Stitch
Headland Sweater,Spiced Rum,Taylor Stitch,Knits,The Headland Sweater in Spiced Rum from Taylor Stitch
Organic Cotton Henley,Henley in Vintage White,Taylor Stitch,Knits,The Organic Cotton Henley in Vintage White from Taylor Stitch
Organic Cotton Henley,Henley in Faded Black,Taylor Stitch,Knits,The Organic Cotton Henley in Faded Black from Taylor Stitch
Organic Cotton Henley,Henley in Navy,Taylor Stitch,Knits,The Organic Cotton Henley in Navy from Taylor Stitch
Lined Maritime Shirt Jacket,Olive,Taylor Stitch,Wovens,The Lined Maritime Shirt Jacket in Olive from Taylor Stitch
Lined Maritime Shirt Jacket,Coal,Taylor Stitch,Wovens,The Lined Maritime Shirt Jacket in Coal from Taylor Stitch
Maritime Shirt Jacket,Black Cherry Moleskin,Taylor Stitch,Wovens,The Maritime Shirt Jacket in Black Cherry Moleskin from Taylor Stitch
Maritime Shirt Jacket,Dark Navy Moleskin,Taylor Stitch,Wovens,The Maritime Shirt Jacket in Dark Navy Moleskin from Taylor Stitch
Western Shirt,Wetland Plaid,Taylor Stitch,Wovens,The Western Shirt in Wetland Plaid from Taylor Stitch
Western Shirt,Soil Pigment Selvage Denim,Taylor Stitch,Wovens,The Western Shirt in Soil Pigment Selvage Denim from Taylor Stitch
Ledge Shirt,Blue Sky Plaid,Taylor Stitch,Wovens,The Ledge Shirt in Blue Sky Plaid from Taylor Stitch
Ledge Shirt,Brass Plaid,Taylor Stitch,Wovens,The Ledge Shirt in Brass Plaid from Taylor Stitch
Saddler Shirt,Teak Plaid Cord,Taylor Stitch,Wovens,The Saddler Shirt in Teak Plaid Cord from Taylor Stitch
Saddler Shirt,Dark Roast Plaid Cord,Taylor Stitch,Wovens,The Saddler Shirt in Dark Roast Plaid Cord from Taylor Stitch
Lined Utility Shirt,Washed Black Denim,Taylor Stitch,Wovens,The Lined Utility Shirt in Washed Black Denim from Taylor Stitch
Lined Utility Shirt,Wheat Denim,Taylor Stitch,Wovens,The Lined Utility Shirt in Wheat Denim from Taylor Stitch
Able Jacket,Faded Black Quilted Nylon,Taylor Stitch,Outerwear,The Able Jacket in Faded Black Quilted Nylon from Taylor Stitch
Able Jacket,Morel Quilted Nylon,Taylor Stitch,Outerwear,The Able Jacket in Morel Quilted Nylon from Taylor Stitch
Explorer Jacket,Arid Camo Dry Wax,Taylor Stitch,Outerwear,The Explorer Jacket in Vintage Arid Camo Dry Wax from Taylor Stitch
